destination_region,total_eur,eur_per_day,total_tonne,tonne_per_day,updated_on
China,351902281930.8068,281622614.122919,972618913.4118457,643626.8007850379,2026-09-26 03:07:27.545080
EU,237123930558.72934,68860210.3910253,347554779.73680973,84495.45973895187,2026-09-26 03:07:27.545080
India,187337747880.0988,133228192.34063528,517120241.46102,365469.94166457147,2026-09-26 03:07:27.545080
Others,207823611437.70026,85489796.63504802,448802711.60159594,218309.61381760697,2026-09-26 03:07:27.545080
South Korea,25053154061.017303,20093599.566785,115550827.21731001,76020.223405,2026-09-26 03:07:27.545080
Türkiye,137809673406.62646,48670483.12375091,325716149.0206983,138643.70217276976,2026-09-26 03:07:27.545080
United Kingdom,1521421570.3636749,0.0,2197064.1648532697,0.0,2026-09-26 03:07:27.545080
United States,2634573521.4861364,0.0,4513647.77,0.0,2026-09-26 03:07:27.545080
Total,1151206394366.8289,637964896.1801635,2734074334.384133,1526565.741583938,2026-09-26
