date,destination_region,oil_eur_per_day,gas_eur_per_day,coal_eur_per_day,total_eur_per_day
2022-06-01,Türkiye,40445490.407955736,33464475.504686967,12814907.5783,86724873.4909427
2022-06-01,United Kingdom,2308370.7783693,0.0,0.0,2308370.7783693
2022-06-01,United States,1436403.7643396,0.0,779427.7982000001,2215831.5625396
2022-07-01,China,143313993.44731867,17272080.416970138,45954392.321870975,206540466.1861598
2022-07-01,EU,327512936.49707085,169210095.540425,19288555.582551032,516011587.62004685
2022-07-01,India,94025257.71409912,1623870.081083871,16739434.117225809,112388561.9124088
2022-07-01,Others,69855729.14086822,27287992.428707823,24322599.63858064,121466321.20815668
2022-07-01,South Korea,2257974.1183632584,1308092.2082673872,12986118.82587097,16552185.152501617
2022-07-01,Total,693108167.5510287,247482721.85062057,134985101.32348654,1075575990.7251358
2022-07-01,Türkiye,52046208.37514781,30780591.175166346,14501553.52387097,97328353.07418513
2022-07-01,United Kingdom,0.0,0.0,1192447.313516129,1192447.313516129
2022-07-01,United States,4096068.258160742,0.0,0.0,4096068.258160742
2022-08-01,China,172465909.63135812,36490615.26384018,37873457.39483872,246829982.29003704
2022-08-01,EU,255766801.70128426,201208750.85813338,2701369.6539266594,459676922.2133443
2022-08-01,India,84038453.03623298,1835444.7277419355,15565803.967870967,101439701.73184589
2022-08-01,Others,93125148.57197468,22049082.333396822,18511766.71612903,133685997.62150054
2022-08-01,South Korea,7982706.413855033,1453527.9201439677,18600265.59732258,28036499.93132158
2022-08-01,Total,672305555.0932868,310655682.9345907,108603231.35353957,1091564469.381417
2022-08-01,Türkiye,58926535.738581605,47618261.83133444,15350568.023451613,121895365.59336767
2022-08-01,United Kingdom,0.0,0.0,0.0,0.0
2022-08-01,United States,0.0,0.0,0.0,0.0
2022-09-01,China,160825324.2733167,49069877.38302731,42176145.884799995,252071347.541144
2022-09-01,EU,236666370.9998611,158464113.30782115,0.0,395130484.3076823
2022-09-01,India,80208230.7852291,0.0,17564341.782033335,97772572.56726244
2022-09-01,Others,85456212.13512565,25219253.830061104,18176385.02473333,128851850.98992008
2022-09-01,South Korea,4546772.6597142005,0.0,14978720.901666667,19525493.561380867
2022-09-01,Total,617440271.5308716,269770281.48228717,110789312.85653333,997999865.8696921
2022-09-01,Türkiye,46932394.98319746,37017036.961377606,17893719.263299998,101843151.20787506
2022-09-01,United Kingdom,1126658.2858816,0.0,0.0,1126658.2858816
2022-09-01,United States,1678307.4085457,0.0,0.0,1678307.4085457
2022-10-01,China,163728011.198349,41023913.77631422,38199141.340451606,242951066.31511483
2022-10-01,EU,216363999.17069218,125352185.91255698,0.0,341716185.08324915
2022-10-01,India,84951291.63813448,2672869.584567742,12690856.747903228,100315017.97060545
2022-10-01,Others,74301607.26271422,25554196.607962336,20215180.104290325,120070983.97496688
2022-10-01,South Korea,8142844.075100129,3123491.9906871933,15931133.698580643,27197469.764367964
2022-10-01,Total,605819796.6492822,215839811.6264804,108199714.56512903,929859322.8408916
2022-10-01,Türkiye,54655652.86069044,18113153.754391905,21163402.673903227,93932209.28898557
2022-10-01,United Kingdom,996666.5026560001,0.0,0.0,996666.5026560001
2022-10-01,United States,2679723.9409457417,0.0,0.0,2679723.9409457417
2022-11-01,China,172142064.26523915,37668691.919184454,37510900.458399996,247321656.6428236
2022-11-01,EU,220928028.532111,105669462.90257831,0.0,326597491.4346893
2022-11-01,India,86910626.96834232,0.0,16500775.756233335,103411402.72457565
2022-11-01,Others,71006464.44614407,18640085.58307954,15585840.065933334,105232390.09515695
2022-11-01,South Korea,5323824.334379466,4432959.5335529335,19851356.16763334,29608140.03556574
2022-11-01,Total,619208575.8663845,181646786.19419286,102892602.46956667,903747964.530144
2022-11-01,Türkiye,59244341.31063013,15235586.255797599,13443730.021366665,87923657.5877944
2022-11-01,United Kingdom,2167750.2884352,0.0,0.0,2167750.2884352
2022-11-01,United States,1485475.7211032,0.0,0.0,1485475.7211032
2022-12-01,China,124592967.67048997,28165600.011073668,36951702.20064516,189710269.8822088
2022-12-01,EU,175698437.265811,118638448.97870034,0.0,294336886.24451137
2022-12-01,India,89756706.14887768,0.0,8782279.525580645,98538985.67445832
2022-12-01,Others,73629129.9510104,30841199.11993785,15164339.656290324,119634668.72723858
